X--Trace 1::[interactive: TIME],Y--Trace 1::[V_in: V(2)],,X--Trace 2::[interactive: TIME],Y--Trace 2::[V_out: V(3)]
2.1730300000000002,0.06000000000039307,,2.1730300000000002,-0.7983946813640892
2.17307,0.140000000000029,,2.17307,-0.7994521829862422
2.17315,0.300000000000189,,2.17315,-0.7980837405744715
2.1732500000000003,0.5000000000006111,,2.1732500000000003,-0.799638724469665
2.1733500000000006,0.7000000000010331,,2.1733500000000006,-0.7979179208552118
2.1734500000000008,0.9000000000014552,,2.1734500000000008,-0.7998045496397199
2.1735,0.999999999999666,,2.1735,-0.797669168276157
2.1735100000000003,0.979999999999535,,2.1735100000000003,0.8011932824774173
2.1735300000000004,0.939999999999273,,2.1735300000000004,0.8007501107544671
2.1735700000000002,0.859999999999637,,2.1735700000000002,0.8018196464683266
2.1736500000000003,0.699999999999477,,2.1736500000000003,0.8004366584978037
2.1737500000000005,0.499999999999055,,2.1737500000000005,0.8020076993400147
2.1738500000000007,0.2999999999986329,,2.1738500000000007,0.8002694933145136
2.173950000000001,0.09999999999821085,,2.173950000000001,0.8021748700927562
2.174,0,,2.174,0.8000187223633662
2.17401,0.020000000000131024,,2.17401,-0.7988300784888145
2.17403,0.06000000000039307,,2.17403,-0.7983946778918394
2.17407,0.140000000000029,,2.17407,-0.7994521859227024
2.17415,0.300000000000189,,2.17415,-0.7980837378547356
2.1742500000000002,0.5000000000006111,,2.1742500000000002,-0.7996387271168087
2.1743500000000004,0.7000000000010331,,2.1743500000000004,-0.797917918146955
2.1744500000000007,0.9000000000014552,,2.1744500000000007,-0.7998045524034398
2.1745,0.999999999999666,,2.1745,-0.7976691657559596
2.17451,0.979999999999535,,2.17451,0.8011932946220416
2.1745300000000003,0.939999999999273,,2.1745300000000003,0.8007500665127056
2.17457,0.859999999999637,,2.17457,0.801819711384263
2.17465,0.699999999999477,,2.17465,0.8004365831687988
2.1747500000000004,0.499999999999055,,2.1747500000000004,0.8020077830447087
2.1748500000000006,0.2999999999986329,,2.1748500000000006,0.8002694012507081
2.174950000000001,0.09999999999821085,,2.174950000000001,0.8021749704092144
2.175,0,,2.175,0.8000186058059414
2.17501,0.019999999999242846,,2.17501,-0.7988300581826707
2.17503,0.059999999999504894,,2.17503,-0.7983946986367548
2.17507,0.1399999999991408,,2.17507,-0.7994521649467893
2.17515,0.2999999999993008,,2.17515,-0.7980837588600324
2.17525,0.4999999999997229,,2.17525,-0.7996387060806853
2.1753500000000003,0.700000000000145,,2.1753500000000003,-0.7979179392608837
2.1754500000000005,0.900000000000567,,2.1754500000000005,-0.7998045312240101
2.1755000000000004,0.999999999999666,,2.1755000000000004,-0.7976691869185123
